"ac_type","ac_fl","fl","m_lo","m_nom","m_hi","V_cl_1","V_cl_2","M_cl","V_cr_1","V_cr_2","M_cr","V_des_1","V_des_2","M_des","h_MO","CL_TAS","CL_ROCD_lo_m","CL_ROCD_nom_m","CL_ROCD_hi_m","CL_fuel_nom_m","CR_TAS","CR_fuel_lo_m","CR_fuel_nom_m","CR_fuel_hi_m","DES_TAS","DES_ROCD_nom_m","DES_fuel_nom_m"
"A30B","A30B_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","1580","1060","630","138.0","438","92.2","102.0","114.9","438","2590","17.3"
"A30B","A30B_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"452","1360","870","470","130.0","452","91.6","101.5","114.5","452","2630","15.7"
"A30B","A30B_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","1250","780","380","126.0","459","91.3","101.2","114.3","459","2650","14.9"
"A30B","A30B_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"458","1590","930","380","118.1","458","86.8","97.5","111.7","458","3570","13.3"
"A30B","A30B_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"454","1430","770","200","110.4","454","82.2","94.0","106.9","454","3420","11.7"
"A30B","A30B_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"450","1260","580","20","102.7","450","78.2","91.2","99.5","450","3300","10.1"
"A30B","A30B_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","980","350","0","95.2","447","74.9","89.2","92.3","447","2970","8.5"
"A30B","A30B_FL390","390",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","780","150","0","87.8","447","72.3","85.1","85.1","447","2940","6.9"
"A30B","A30B_speed_laws","none","104400","134000","165000","250","300","0.78","250","300","0.78","250","300","0.78","39000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A310","A310_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"147","2590","2530","2150","265.2",NULL,NULL,NULL,NULL,"131","700","82.0"
"A310","A310_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"148","2570","2510","2120","262.7",NULL,NULL,NULL,NULL,"132","710","81.2"
"A310","A310_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"149","2560","2490","2110","260.1",NULL,NULL,NULL,NULL,"138","760","80.5"
"A310","A310_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"155","2700","2600","2190","257.9",NULL,NULL,NULL,NULL,"149","860","79.9"
"A310","A310_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"156","2680","2580","2170","255.3",NULL,NULL,NULL,NULL,"181","850","43.6"
"A310","A310_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"179","3210","2990","2510","251.3","230","52.7","62.8","78.5","230","860","22.8"
"A310","A310_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"214","3880","3490","2920","247.7","233","52.7","62.8","78.6","233","880","22.4"
"A310","A310_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4910","3980","3160","239.9","272","59.1","67.0","79.3","240","920","21.5"
"A310","A310_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4750","3830","3030","229.9","280","59.1","67.0","79.4","280","1160","20.7"
"A310","A310_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","4580","3680","2890","220.0","289","59.1","67.0","79.5","289","1210","19.8"
"A310","A310_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"379","4500","3660","2930","213.3","297","59.0","67.1","79.6","367","1970","19.2"
"A310","A310_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"390","4240","3430","2740","203.4","306","59.0","67.1","79.7","378","2030","18.3"
"A310","A310_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"401","3980","3210","2540","193.6","389","78.1","83.5","92.0","389","2080","17.4"
"A310","A310_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"413","3700","2970","2330","183.9","401","77.8","83.3","91.8","401","2140","16.5"
"A310","A310_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"425","3410","2730","2120","174.2","413","77.5","83.0","91.7","413","2190","15.6"
"A310","A310_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","3120","2480","1900","164.6","425","77.2","82.8","91.5","425","2240","15.2"
"A310","A310_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"452","2830","2220","1670","155.0","438","76.8","82.5","91.3","438","2290","15.2"
"A310","A310_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"465","2520","1960","1450","145.5","452","76.4","82.1","91.1","452","2340","15.2"
"A310","A310_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"476","3180","2440","1740","135.9","466","76.0","81.8","90.9","466","2390","15.2"
"A310","A310_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"473","3050","2310","1620","131.0","473","75.8","81.6","90.7","473","2420","15.2"
"A310","A310_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"469","2750","2040","1360","121.2","469","71.1","77.5","87.5","469","3260","15.2"
"A310","A310_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"465","2440","1750","1090","111.5","465","66.9","73.9","84.8","465","3100","15.2"
"A310","A310_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"461","2110","1450","790","102.0","461","63.2","70.9","82.9","461","2970","15.2"
"A310","A310_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","1620","1030","440","92.5","459","60.0","68.5","81.7","459","3000","15.2"
"A310","A310_FL390","390",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","1300","730","130","83.2","459","57.4","66.7","78.9","459","2920","15.2"
"A310","A310_FL410","410",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","950","400","0","74.0","459","55.3","65.6","70.2","459","2870","15.2"
"A310","A310_speed_laws","none","96000","120000","150000","250","320","0.80","250","310","0.80","250","310","0.80","41000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A319","A319_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"140","2290","2250","2040","103.7",NULL,NULL,NULL,NULL,"127","710","34.0"
"A319","A319_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"141","2270","2230","2010","102.8",NULL,NULL,NULL,NULL,"128","720","33.7"
"A319","A319_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"142","2260","2220","2000","102.0",NULL,NULL,NULL,NULL,"134","770","33.5"
"A319","A319_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"148","2380","2310","2080","101.5",NULL,NULL,NULL,NULL,"145","780","13.2"
"A319","A319_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"149","2370","2290","2070","100.7",NULL,NULL,NULL,NULL,"177","910","13.3"
"A319","A319_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"173","2820","2630","2360","100.1","230","26.4","29.5","32.7","230","920","10.7"
"A319","A319_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"207","3360","3010","2680","100.2","233","26.4","29.6","32.7","233","940","10.7"
"A319","A319_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4030","3320","2880","99.9","272","31.8","34.3","36.8","240","980","10.6"
"A319","A319_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","3910","3210","2770","96.5","280","31.9","34.4","36.9","280","1360","10.5"
"A319","A319_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","3770","3090","2660","93.1","289","31.9","34.4","37.0","289","1410","10.4"
"A319","A319_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"356","3410","2800","2420","92.4","297","32.0","34.5","37.1","356","2310","10.4"
"A319","A319_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"366","3210","2630","2270","88.9","306","32.0","34.6","37.2","366","2370","10.3"
"A319","A319_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"377","3010","2450","2110","85.4","377","43.6","45.5","47.4","377","2420","10.2"
"A319","A319_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"388","2790","2260","1940","81.8","388","43.6","45.5","47.4","388","2480","10.1"
"A319","A319_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"400","2570","2070","1760","78.3","400","43.6","45.5","47.5","400","2540","10.1"
"A319","A319_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"412","2340","1870","1570","74.7","412","43.5","45.5","47.5","412","2590","10.0"
"A319","A319_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"425","2100","1660","1380","71.1","425","43.5","45.5","47.5","425","2640","9.9"
"A319","A319_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","1850","1440","1180","67.4","438","43.4","45.4","47.4","438","2690","9.9"
"A319","A319_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"452","1590","1210","970","63.7","452","43.3","45.3","47.4","452","2740","9.8"
"A319","A319_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","1450","1100","870","61.9","459","43.2","45.3","47.4","459","2760","9.8"
"A319","A319_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"458","1880","1390","1070","57.7","458","40.5","42.7","45.0","458","3650","9.7"
"A319","A319_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"454","1720","1250","930","53.5","454","37.6","40.0","42.5","454","3400","9.6"
"A319","A319_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"450","1550","1080","760","49.3","450","35.0","37.7","40.4","450","2710","9.9"
"A319","A319_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","1240","820","520","45.1","447","32.7","35.6","38.6","447","2370","9.5"
"A319","A319_FL390","390",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","1030","620","320","41.0","447","30.7","33.9","37.2","447","2290","9.4"
"A319","A319_speed_laws","none","48000","60000","70000","250","300","0.78","250","300","0.78","250","300","0.78","39000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A320","A320_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"153","2330","2120","1830","128.1",NULL,NULL,NULL,NULL,"136","770","43.5"
"A320","A320_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"154","2320","2100","1810","126.9",NULL,NULL,NULL,NULL,"137","780","43.1"
"A320","A320_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"155","2310","2080","1790","125.6",NULL,NULL,NULL,NULL,"143","830","42.7"
"A320","A320_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"162","2430","2160","1860","124.4",NULL,NULL,NULL,NULL,"155","880","16.2"
"A320","A320_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"163","2410","2150","1840","123.2",NULL,NULL,NULL,NULL,"187","1030","16.0"
"A320","A320_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"186","2860","2440","2090","120.8","230","31.2","38.4","45.3","230","1290","8.6"
"A320","A320_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"221","3400","2790","2370","118.4","233","31.2","38.4","45.3","233","1310","8.5"
"A320","A320_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4100","3010","2460","113.6","272","35.9","41.5","46.9","240","1340","8.2"
"A320","A320_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","3950","2890","2350","108.8","280","35.9","41.5","46.9","280","1660","8.0"
"A320","A320_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","3790","2760","2230","104.0","289","35.8","41.4","46.8","289","1700","7.8"
"A320","A320_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"367","3460","2550","2080","99.4","297","35.7","41.3","46.8","367","2600","7.6"
"A320","A320_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"378","3240","2370","1920","94.6","306","35.6","41.3","46.7","378","2640","7.4"
"A320","A320_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"389","3000","2180","1750","89.9","389","48.3","52.1","55.7","389","2580","7.2"
"A320","A320_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"401","2760","1980","1580","85.3","401","48.0","51.8","55.4","401","2620","6.9"
"A320","A320_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"413","2510","1780","1390","80.6","413","47.7","51.5","55.2","413","2660","6.7"
"A320","A320_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"425","2250","1570","1200","76.0","425","47.4","51.2","54.9","425","2700","6.5"
"A320","A320_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","1970","1350","1010","71.4","438","47.0","50.9","54.6","438","2730","6.3"
"A320","A320_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"452","1700","1130","810","66.8","452","46.6","50.6","54.3","452","2770","6.1"
"A320","A320_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"464","2020","1290","880","62.3","464","45.9","49.9","53.8","464","3890","5.9"
"A320","A320_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"462","1930","1210","800","60.0","462","44.3","48.5","52.5","462","3770","5.7"
"A320","A320_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"458","1740","1030","620","55.5","458","41.3","45.9","50.3","458","3540","5.5"
"A320","A320_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"454","1530","840","430","51.0","454","38.6","43.7","48.5","454","3340","5.3"
